total_time;spawn_time;image_time;instance_time;concurrent_instances
18614;8594;767;2270;20
20594;10250;891;1713;20
29580;18742;1189;4904;20
29819;18563;2849;9084;20
30010;18913;1631;9455;20
30061;18641;2458;9113;20
30189;18690;2085;9397;20
29853;18126;3245;8644;20
30086;18808;1812;9509;20
29971;17786;3785;8560;20
30158;18287;3131;8645;20
29890;17351;4163;8468;20
30089;17249;4120;8500;20
30283;18206;2928;8655;20
30287;17176;4166;8511;20
30359;18194;3577;8621;20
30366;17894;3739;8554;20
30619;17615;3976;8573;20
30619;17456;4013;8477;20
31190;18464;3421;8751;20
